# FICHERO SEMILLA — cartera institucional (estación ① del loop maestro)
# Los nombres de institución son reales; TODOS los demás campos están vacíos a propósito:
# se rellenan con fuentes oficiales (ver docs/03-mapa-institucional-euskadi.md §6). No inventar datos.
# prioridad: 1 (máxima) a 4 (agrupada vía ente supramunicipal). Criterios en docs/03 §5.
# estado: sin-contacto | contactado | propuesta-enviada | cliente | cliente-recurrente | perdido | dormido
# escalon: 1..5 según docs/09-modelo-economico.md §1
institucion,tipo,territorio,comarca,mancomunidad,poblacion,udalsarea_2030,prioridad,estado,escalon,contacto_tecnico,contacto_politico,email,telefono,kg_hab_organico,kg_hab_envases,proveedor_actual,ultima_interaccion,proxima_ventana,prescriptor,notas
Azpeitia,ayuntamiento,Gipuzkoa,Urola Erdia,,,,2,,,,,,,,,,,,,
Tolosa,ayuntamiento,Gipuzkoa,Tolosaldea,Tolosaldea,,,2,,,,,,,,,,,,,
Irun,ayuntamiento,Gipuzkoa,Bidasoa,Txingudi,,,2,,,,,,,,,,,,,
Hondarribia,ayuntamiento,Gipuzkoa,Bidasoa,Txingudi,,,2,,,,,,,,,,,,,
Donostia/San Sebastián,ayuntamiento,Gipuzkoa,Donostialdea,,,,3,,,,,,,,,,,,,"Grande y exigente. Larga carrera."
Ihobe,agencia,CAPV,,,,,1,,,,,,,,,,,,,"NO es cliente típico: es el amplificador del loop. Coordina Udalsarea 2030 y las convocatorias."
Udalsarea 2030,red,CAPV,,,,,1,,,,,,,,,,,,,"Foro de prescripción (estación ⑥). Objetivo: que un técnico presente un caso INGURA en un grupo de trabajo."
EUDEL,asociacion,CAPV,,,,,2,,,,,,,,,,,,,"Grupos de trabajo transversales de personal técnico y político"
Diputación Foral de Bizkaia,diputacion,Bizkaia,,,,,2,,,,,,,,,,,,,"Competencia foral en residuos + convocatorias propias"
Diputación Foral de Gipuzkoa,diputacion,Gipuzkoa,,,,,2,,,,,,,,,,,,,
Diputación Foral de Álava,diputacion,Araba/Álava,,,,,3,,,,,,,,,,,,,
